name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Jeffrey de Lange,€650k,Goalkeeper,"Apr 1, 1998 (24)",Netherlands,"1,90m",right,"Jul 1, 2022","Jun 30, 2025"
Erwin Mulder,€300k,Goalkeeper,"Mar 3, 1989 (34)",Netherlands,"1,93m",right,"Aug 2, 2022","Jun 30, 2023"
Luca Plogmann,€225k,Goalkeeper,"Mar 10, 2000 (23)",Germany,"1,89m",both,"Oct 16, 2022","Jun 30, 2023"
Sven Jansen,€50k,Goalkeeper,"Oct 23, 2004 (18)",Netherlands,"1,92m",right,"Jul 1, 2021","Jun 30, 2025"
José Fontán,€800k,Centre-Back,"Feb 11, 2000 (23)",Spain,"1,82m",left,"Jul 1, 2022","Jun 30, 2023"
Jay Idzes,€600k,Centre-Back,"Jun 2, 2000 (22)",Netherlands,"1,90m",right,"Jul 20, 2020","Jun 30, 2023"
Jamal Amofa,€550k,Centre-Back,"Nov 25, 1998 (24)",Netherlands,"1,85m",right,"Jul 5, 2022","Jun 30, 2025"
Gerrit Nauber,€500k,Centre-Back,"Apr 13, 1992 (30)",Germany,"1,86m",right,"Jul 5, 2021","Jun 30, 2023"
Bas Kuipers,€700k,Left-Back,"Aug 17, 1994 (28)",Netherlands,"1,80m",left,"Jul 6, 2020","Jun 30, 2024"
Fredrik Oppegard,€600k,Left-Back,"Aug 7, 2002 (20)",Norway,"1,75m",left,"Jan 29, 2023","Jun 30, 2023"
Aventis Aventisian,€75k,Left-Back,"Aug 17, 2002 (20)",Armenia,"1,72m",left,"Jan 3, 2022","Jun 30, 2024"
Mats Deijl,€500k,Right-Back,"Jul 15, 1997 (25)",Netherlands,"1,81m",right,"Jul 1, 2021","Jun 30, 2024"
Federico Mattiello,€400k,Right-Back,"Jul 14, 1995 (27)",Italy,"1,84m",right,"Sep 5, 2022","Jun 30, 2023"
Pim Saathof,€25k,Right-Back,"Dec 28, 2003 (19)",Netherlands,"1,86m",right,-,-
Enric Llansana,€550k,Defensive Midfield,"Apr 12, 2001 (21)",Netherlands,"1,83m",right,"Jul 1, 2022","Jun 30, 2026"
Xander Blomme,€250k,Defensive Midfield,"Jun 21, 2002 (20)",Belgium,"1,72m",right,"Jul 1, 2022","Jun 30, 2024"
Willum Thór Willumsson,€900k,Central Midfield,"Oct 23, 1998 (24)",Iceland,"1,94m",left,"Jul 15, 2022","Jun 30, 2024"
Philippe Rommens,€800k,Central Midfield,"Aug 20, 1997 (25)",Belgium,"1,75m",right,"Jul 1, 2021","Jun 30, 2024"
Evert Linthorst,€600k,Central Midfield,"Mar 3, 2000 (23)",Netherlands,"1,85m",right,"Jan 30, 2022","Jun 30, 2024"
Robbin Weijenberg,€25k,Attacking Midfield,"Nov 8, 2004 (18)",Netherlands,-,right,-,-
Oliver Valaker Edvardsen,€800k,Left Winger,"Mar 19, 1999 (24)",Norway,-,right,"Jul 15, 2022","Jun 30, 2025"
Sylla Sow,€300k,Left Winger,"Aug 8, 1996 (26)",Netherlands,"1,82m",right,"Aug 29, 2022","Jun 30, 2024"
Darío Serra,€25k,Left Winger,"Jan 20, 2003 (20)",Spain,"1,80m",right,"Jan 31, 2023","Jun 30, 2023"
Bobby Adekanye,€800k,Right Winger,"Feb 14, 1999 (24)",Netherlands,"1,75m",left,"Jul 1, 2022","Jun 30, 2024"
Rashaan Fernandes,€300k,Right Winger,"Jul 29, 1998 (24)",Netherlands,"1,70m",right,"Jul 1, 2022","Jun 30, 2025"
Jahnoah Markelo,€100k,Right Winger,"Jan 4, 2003 (20)",Netherlands,"1,71m",left,"Jul 1, 2022","Jun 30, 2025"
Isac Lidberg,€750k,Centre-Forward,"Sep 8, 1998 (24)",Sweden,"1,87m",right,"Jul 16, 2021","Jun 30, 2024"
Finn Stokkers,€450k,Centre-Forward,"Apr 18, 1996 (26)",Netherlands,"1,80m",right,"Jul 1, 2022","Jun 30, 2025"
